regiao;estado;DateRep;cum-Cases;cum-Deaths;Cases;Deaths
Nordeste;BA;2020-03-06;1;0;1;0
Nordeste;BA;2020-03-07;2;0;1;0
Nordeste;BA;2020-03-08;2;0;0;0
Nordeste;BA;2020-03-09;2;0;0;0
Nordeste;BA;2020-03-10;2;0;0;0
Nordeste;BA;2020-03-11;2;0;0;0
Nordeste;BA;2020-03-12;2;0;0;0
Nordeste;BA;2020-03-13;2;0;0;0
Nordeste;BA;2020-03-14;2;0;0;0
Nordeste;BA;2020-03-15;2;0;0;0
Nordeste;BA;2020-03-16;2;0;0;0
Nordeste;BA;2020-03-17;3;0;1;0
Nordeste;BA;2020-03-18;3;0;0;0
Nordeste;BA;2020-03-19;30;0;27;0
Nordeste;BA;2020-03-20;33;0;3;0
Nordeste;BA;2020-03-21;41;0;8;0
Nordeste;BA;2020-03-22;49;0;8;0
Nordeste;BA;2020-03-23;63;0;14;0
Nordeste;BA;2020-03-24;76;0;13;0
Nordeste;BA;2020-03-25;84;0;8;0
Nordeste;BA;2020-03-26;104;0;20;0
Nordeste;BA;2020-03-27;115;0;11;0
Nordeste;BA;2020-03-28;127;0;12;0
Nordeste;BA;2020-03-29;154;1;27;1
Nordeste;BA;2020-03-30;176;1;22;0
Nordeste;BA;2020-03-31;213;2;37;1
Nordeste;BA;2020-04-01;246;2;33;0
Nordeste;BA;2020-04-02;267;3;21;1
Nordeste;BA;2020-04-03;282;5;15;2
Nordeste;BA;2020-04-04;332;7;50;2
Nordeste;BA;2020-04-05;401;9;69;2
Nordeste;BA;2020-04-06;431;10;30;1
Nordeste;BA;2020-04-07;456;12;25;2
Nordeste;BA;2020-04-08;497;15;41;3
Nordeste;BA;2020-04-09;559;19;62;4
Nordeste;BA;2020-04-10;604;19;45;0
Nordeste;BA;2020-04-11;635;21;31;2
Nordeste;BA;2020-04-12;673;21;38;0
Nordeste;BA;2020-04-13;723;22;50;1
Nordeste;BA;2020-04-14;759;22;36;0
Nordeste;BA;2020-04-15;807;27;48;5
Nordeste;BA;2020-04-16;951;30;144;3
Nordeste;BA;2020-04-17;1059;36;108;6
Nordeste;BA;2020-04-18;1193;37;134;1
Nordeste;BA;2020-04-19;1230;45;37;8
Nordeste;BA;2020-04-20;1341;46;111;1
Nordeste;BA;2020-04-21;1489;47;148;1
Nordeste;BA;2020-04-22;1644;50;155;3
Nordeste;BA;2020-04-23;1789;59;145;9
Nordeste;BA;2020-04-24;1962;64;173;5
Nordeste;BA;2020-04-25;2081;70;119;6
Nordeste;BA;2020-04-26;2209;73;128;3
Nordeste;BA;2020-04-27;2354;76;145;3
Nordeste;BA;2020-04-28;2540;86;186;10
Nordeste;BA;2020-04-29;2646;96;106;10
Nordeste;BA;2020-04-30;2851;104;205;8
Nordeste;BA;2020-05-01;3085;117;234;13
Nordeste;BA;2020-05-02;3267;123;182;6
Nordeste;BA;2020-05-03;3495;123;228;0
Nordeste;BA;2020-05-04;3734;141;239;18
Nordeste;BA;2020-05-05;4040;146;306;5
Nordeste;BA;2020-05-06;4301;160;261;14
Nordeste;BA;2020-05-07;4528;165;227;5
Nordeste;BA;2020-05-08;4818;183;290;18
Nordeste;BA;2020-05-09;5174;196;356;13
Nordeste;BA;2020-05-10;5558;202;384;6
Nordeste;BA;2020-05-11;5808;211;250;9
Nordeste;BA;2020-05-12;6204;225;396;14
Nordeste;BA;2020-05-13;6547;236;343;11
Nordeste;BA;2020-05-14;6955;262;408;26
Nordeste;BA;2020-05-15;8128;281;1173;19
Nordeste;BA;2020-05-16;8314;286;186;5
Nordeste;BA;2020-05-17;8443;295;129;9
Nordeste;BA;2020-05-18;8581;312;138;17
Nordeste;BA;2020-05-19;11013;326;2432;14
Nordeste;BA;2020-05-20;11197;362;184;36
Nordeste;BA;2020-05-21;11941;376;744;14
Nordeste;BA;2020-05-22;12557;399;616;23
Nordeste;BA;2020-05-23;13000;413;443;14
Nordeste;BA;2020-05-24;13899;460;899;47
Nordeste;BA;2020-05-25;14204;477;305;17
Nordeste;BA;2020-05-26;14566;495;362;18
Nordeste;BA;2020-05-27;15070;531;504;36
Nordeste;BA;2020-05-28;15963;570;893;39
Nordeste;BA;2020-05-29;16917;609;954;39
Nordeste;BA;2020-05-30;17626;638;709;29
Nordeste;BA;2020-05-31;18392;667;766;29
Nordeste;BA;2020-06-01;18898;701;506;34
