regiao;estado;DateRep;cum-Cases;cum-Deaths;Cases;Deaths
Nordeste;SE;2020-03-15;1;0;1;0
Nordeste;SE;2020-03-16;1;0;0;0
Nordeste;SE;2020-03-17;4;0;3;0
Nordeste;SE;2020-03-18;5;0;1;0
Nordeste;SE;2020-03-19;6;0;1;0
Nordeste;SE;2020-03-20;6;0;0;0
Nordeste;SE;2020-03-21;10;0;4;0
Nordeste;SE;2020-03-22;10;0;0;0
Nordeste;SE;2020-03-23;10;0;0;0
Nordeste;SE;2020-03-24;15;0;5;0
Nordeste;SE;2020-03-25;16;0;1;0
Nordeste;SE;2020-03-26;16;0;0;0
Nordeste;SE;2020-03-27;16;0;0;0
Nordeste;SE;2020-03-28;16;0;0;0
Nordeste;SE;2020-03-29;16;0;0;0
Nordeste;SE;2020-03-30;16;0;0;0
Nordeste;SE;2020-03-31;19;0;3;0
Nordeste;SE;2020-04-01;20;0;1;0
Nordeste;SE;2020-04-02;23;2;3;2
Nordeste;SE;2020-04-03;25;2;2;0
Nordeste;SE;2020-04-04;27;2;2;0
Nordeste;SE;2020-04-05;32;3;5;1
Nordeste;SE;2020-04-06;32;4;0;1
Nordeste;SE;2020-04-07;36;4;4;0
Nordeste;SE;2020-04-08;36;4;0;0
Nordeste;SE;2020-04-09;39;4;3;0
Nordeste;SE;2020-04-10;42;4;3;0
Nordeste;SE;2020-04-11;42;4;0;0
Nordeste;SE;2020-04-12;44;4;2;0
Nordeste;SE;2020-04-13;44;4;0;0
Nordeste;SE;2020-04-14;45;4;1;0
Nordeste;SE;2020-04-15;46;4;1;0
Nordeste;SE;2020-04-16;48;4;2;0
Nordeste;SE;2020-04-17;53;4;5;0
Nordeste;SE;2020-04-18;71;5;18;1
Nordeste;SE;2020-04-19;83;5;12;0
Nordeste;SE;2020-04-20;86;5;3;0
Nordeste;SE;2020-04-21;92;5;6;0
Nordeste;SE;2020-04-22;117;7;25;2
Nordeste;SE;2020-04-23;124;8;7;1
Nordeste;SE;2020-04-24;144;8;20;0
Nordeste;SE;2020-04-25;153;9;9;1
Nordeste;SE;2020-04-26;159;9;6;0
Nordeste;SE;2020-04-27;197;10;38;1
Nordeste;SE;2020-04-28;280;11;83;1
Nordeste;SE;2020-04-29;337;12;57;1
Nordeste;SE;2020-04-30;447;12;110;0
Nordeste;SE;2020-05-01;517;14;70;2
Nordeste;SE;2020-05-02;601;14;84;0
Nordeste;SE;2020-05-03;730;14;129;0
Nordeste;SE;2020-05-04;772;17;42;3
Nordeste;SE;2020-05-05;898;21;126;4
Nordeste;SE;2020-05-06;998;23;100;2
Nordeste;SE;2020-05-07;1214;25;216;2
Nordeste;SE;2020-05-08;1438;28;224;3
Nordeste;SE;2020-05-09;1588;33;150;5
Nordeste;SE;2020-05-10;1771;34;183;1
Nordeste;SE;2020-05-11;1800;37;29;3
Nordeste;SE;2020-05-12;2032;37;232;0
Nordeste;SE;2020-05-13;2268;42;236;5
Nordeste;SE;2020-05-14;2494;47;226;5
Nordeste;SE;2020-05-15;2868;50;374;3
Nordeste;SE;2020-05-16;3135;53;267;3
Nordeste;SE;2020-05-17;3343;57;208;4
Nordeste;SE;2020-05-18;3566;59;223;2
Nordeste;SE;2020-05-19;3967;63;401;4
Nordeste;SE;2020-05-20;4277;69;310;6
Nordeste;SE;2020-05-21;4734;76;457;7
Nordeste;SE;2020-05-22;4922;82;188;6
Nordeste;SE;2020-05-23;5131;86;209;4
Nordeste;SE;2020-05-24;5314;93;183;7
Nordeste;SE;2020-05-25;5448;103;134;10
Nordeste;SE;2020-05-26;5735;116;287;13
Nordeste;SE;2020-05-27;5912;127;177;11
Nordeste;SE;2020-05-28;6156;135;244;8
Nordeste;SE;2020-05-29;6462;142;306;7
Nordeste;SE;2020-05-30;6805;149;343;7
Nordeste;SE;2020-05-31;6999;158;194;9
Nordeste;SE;2020-06-01;7233;166;234;8
