cum-Cases;Cases;cum-Deaths;Deaths;DateRep
1;1;0;0;2020-02-26
1;0;0;0;2020-02-27
1;0;0;0;2020-02-28
2;1;0;0;2020-02-29
2;0;0;0;2020-03-01
2;0;0;0;2020-03-02
2;0;0;0;2020-03-03
3;1;0;0;2020-03-04
7;4;0;0;2020-03-05
13;6;0;0;2020-03-06
19;6;0;0;2020-03-07
25;6;0;0;2020-03-08
25;0;0;0;2020-03-09
34;9;0;0;2020-03-10
52;18;0;0;2020-03-11
77;25;0;0;2020-03-12
98;21;0;0;2020-03-13
121;23;0;0;2020-03-14
200;79;0;0;2020-03-15
234;34;0;0;2020-03-16
291;57;1;1;2020-03-17
428;137;4;3;2020-03-18
621;193;6;2;2020-03-19
904;283;11;5;2020-03-20
1128;224;18;7;2020-03-21
1546;418;25;7;2020-03-22
1891;345;34;9;2020-03-23
2201;310;46;12;2020-03-24
2433;232;57;11;2020-03-25
2915;482;77;20;2020-03-26
3417;502;92;15;2020-03-27
3903;486;114;22;2020-03-28
4256;353;136;22;2020-03-29
4579;323;159;23;2020-03-30
5717;1138;201;42;2020-03-31
6834;1117;241;40;2020-04-01
7910;1076;299;58;2020-04-02
9056;1146;359;60;2020-04-03
10278;1222;432;73;2020-04-04
11130;852;486;54;2020-04-05
12056;926;553;67;2020-04-06
13717;1661;667;114;2020-04-07
15927;2210;800;133;2020-04-08
17857;1930;941;141;2020-04-09
19638;1781;1056;115;2020-04-10
20727;1089;1124;68;2020-04-11
22169;1442;1223;99;2020-04-12
23430;1261;1328;105;2020-04-13
25262;1832;1532;204;2020-04-14
28320;3058;1736;204;2020-04-15
30425;2105;1924;188;2020-04-16
33682;3257;2141;217;2020-04-17
36599;2917;2347;206;2020-04-18
38654;2055;2462;115;2020-04-19
40581;1927;2575;113;2020-04-20
43079;2498;2741;166;2020-04-21
45757;2678;2906;165;2020-04-22
49492;3735;3313;407;2020-04-23
52995;3503;3670;357;2020-04-24
58509;5514;4016;346;2020-04-25
61888;3379;4205;189;2020-04-26
66501;4613;4543;338;2020-04-27
71886;5385;5017;474;2020-04-28
78162;6276;5466;449;2020-04-29
85380;7218;5901;435;2020-04-30
91299;5919;6329;428;2020-05-01
96396;5097;6724;395;2020-05-02
101147;4751;7025;301;2020-05-03
105222;4075;7288;263;2020-05-04
