regiao;estado;DateRep;Cases;cum-Cases;Deaths;cum-Deaths
Nordeste;PE;2020-03-12;2;2;0;0
Nordeste;PE;2020-03-13;0;2;0;0
Nordeste;PE;2020-03-14;0;2;0;0
Nordeste;PE;2020-03-15;0;2;0;0
Nordeste;PE;2020-03-16;0;2;0;0
Nordeste;PE;2020-03-17;14;16;0;0
Nordeste;PE;2020-03-18;0;16;0;0
Nordeste;PE;2020-03-19;12;28;0;0
Nordeste;PE;2020-03-20;2;30;0;0
Nordeste;PE;2020-03-21;0;30;0;0
Nordeste;PE;2020-03-22;7;37;0;0
Nordeste;PE;2020-03-23;5;42;0;0
Nordeste;PE;2020-03-24;0;42;0;0
Nordeste;PE;2020-03-25;4;46;1;1
Nordeste;PE;2020-03-26;2;48;2;3
Nordeste;PE;2020-03-27;8;56;1;4
Nordeste;PE;2020-03-28;12;68;1;5
Nordeste;PE;2020-03-29;5;73;0;5
Nordeste;PE;2020-03-30;5;78;1;6
Nordeste;PE;2020-03-31;9;87;0;6
Nordeste;PE;2020-04-01;8;95;2;8
Nordeste;PE;2020-04-02;11;106;1;9
Nordeste;PE;2020-04-03;30;136;1;10
Nordeste;PE;2020-04-04;40;176;4;14
Nordeste;PE;2020-04-05;25;201;7;21
Nordeste;PE;2020-04-06;22;223;9;30
Nordeste;PE;2020-04-07;129;352;4;34
Nordeste;PE;2020-04-08;49;401;12;46
Nordeste;PE;2020-04-09;154;555;10;56
Nordeste;PE;2020-04-10;129;684;9;65
Nordeste;PE;2020-04-11;132;816;7;72
Nordeste;PE;2020-04-12;144;960;13;85
Nordeste;PE;2020-04-13;194;1154;17;102
Nordeste;PE;2020-04-14;130;1284;13;115
Nordeste;PE;2020-04-15;200;1484;28;143
Nordeste;PE;2020-04-16;199;1683;17;160
Nordeste;PE;2020-04-17;323;2006;26;186
Nordeste;PE;2020-04-18;187;2193;19;205
Nordeste;PE;2020-04-19;266;2459;11;216
Nordeste;PE;2020-04-20;231;2690;18;234
Nordeste;PE;2020-04-21;218;2908;26;260
Nordeste;PE;2020-04-22;390;3298;22;282
Nordeste;PE;2020-04-23;221;3519;30;312
Nordeste;PE;2020-04-24;480;3999;40;352
Nordeste;PE;2020-04-25;508;4507;29;381
Nordeste;PE;2020-04-26;391;4898;34;415
Nordeste;PE;2020-04-27;460;5358;35;450
Nordeste;PE;2020-04-28;366;5724;58;508
Nordeste;PE;2020-04-29;470;6194;30;538
Nordeste;PE;2020-04-30;682;6876;27;565
Nordeste;PE;2020-05-01;458;7334;38;603
Nordeste;PE;2020-05-02;811;8145;25;628
Nordeste;PE;2020-05-03;498;8643;24;652
Nordeste;PE;2020-05-04;220;8863;39;691
