regiao;estado;DateRep;Cases;cum-Cases;Deaths;cum-Deaths
Nordeste;PB;2020-03-19;1;1;0;0
Nordeste;PB;2020-03-20;0;1;0;0
Nordeste;PB;2020-03-21;0;1;0;0
Nordeste;PB;2020-03-22;0;1;0;0
Nordeste;PB;2020-03-23;1;2;0;0
Nordeste;PB;2020-03-24;1;3;0;0
Nordeste;PB;2020-03-25;0;3;0;0
Nordeste;PB;2020-03-26;2;5;0;0
Nordeste;PB;2020-03-27;4;9;0;0
Nordeste;PB;2020-03-28;5;14;0;0
Nordeste;PB;2020-03-29;0;14;0;0
Nordeste;PB;2020-03-30;1;15;0;0
Nordeste;PB;2020-03-31;2;17;0;0
Nordeste;PB;2020-04-01;3;20;1;1
Nordeste;PB;2020-04-02;1;21;0;1
Nordeste;PB;2020-04-03;8;29;0;1
Nordeste;PB;2020-04-04;3;32;1;2
Nordeste;PB;2020-04-05;2;34;2;4
Nordeste;PB;2020-04-06;1;35;0;4
Nordeste;PB;2020-04-07;1;36;0;4
Nordeste;PB;2020-04-08;5;41;0;4
Nordeste;PB;2020-04-09;14;55;3;7
Nordeste;PB;2020-04-10;24;79;4;11
Nordeste;PB;2020-04-11;6;85;0;11
Nordeste;PB;2020-04-12;16;101;2;13
Nordeste;PB;2020-04-13;10;111;0;13
Nordeste;PB;2020-04-14;25;136;3;16
Nordeste;PB;2020-04-15;15;151;5;21
Nordeste;PB;2020-04-16;14;165;3;24
Nordeste;PB;2020-04-17;30;195;2;26
Nordeste;PB;2020-04-18;10;205;0;26
Nordeste;PB;2020-04-19;31;236;3;29
Nordeste;PB;2020-04-20;9;245;3;32
Nordeste;PB;2020-04-21;18;263;1;33
Nordeste;PB;2020-04-22;38;301;6;39
Nordeste;PB;2020-04-23;44;345;1;40
Nordeste;PB;2020-04-24;41;386;4;44
Nordeste;PB;2020-04-25;61;447;2;46
Nordeste;PB;2020-04-26;52;499;3;49
Nordeste;PB;2020-04-27;44;543;1;50
Nordeste;PB;2020-04-28;90;633;3;53
Nordeste;PB;2020-04-29;66;699;5;58
Nordeste;PB;2020-04-30;115;814;4;62
Nordeste;PB;2020-05-01;112;926;5;67
Nordeste;PB;2020-05-02;108;1034;7;74
Nordeste;PB;2020-05-03;135;1169;2;76
Nordeste;PB;2020-05-04;50;1219;3;79
