DateRep;Cases;cum-Cases;Deaths;cum-Deaths
2020-03-25;1.0;1.0;0.0;0.0
2020-03-26;1.0;2.0;0.0;0.0
2020-03-27;0.0;2.0;0.0;0.0
2020-03-28;0.0;2.0;0.0;0.0
2020-03-29;0.0;2.0;0.0;0.0
2020-03-30;0.0;2.0;0.0;0.0
2020-03-31;1.0;3.0;0.0;0.0
2020-04-01;0.0;3.0;0.0;0.0
2020-04-02;3.0;6.0;0.0;0.0
2020-04-03;4.0;10.0;0.0;0.0
2020-04-04;3.0;13.0;0.0;0.0
2020-04-05;5.0;18.0;0.0;0.0
2020-04-06;15.0;33.0;0.0;0.0
2020-04-07;9.0;42.0;0.0;0.0
2020-04-08;11.0;53.0;0.0;0.0
2020-04-09;11.0;64.0;0.0;0.0
2020-04-10;18.0;82.0;1.0;1.0
2020-04-11;13.0;95.0;2.0;3.0
2020-04-12;9.0;104.0;1.0;4.0
2020-04-13;30.0;134.0;0.0;4.0
2020-04-14;27.0;161.0;0.0;4.0
2020-04-15;24.0;185.0;0.0;4.0
2020-04-16;35.0;220.0;1.0;5.0
2020-04-17;44.0;264.0;3.0;8.0
2020-04-18;24.0;288.0;2.0;10.0
2020-04-19;11.0;299.0;2.0;12.0
2020-04-20;51.0;350.0;5.0;17.0
2020-04-21;16.0;366.0;3.0;20.0
2020-04-22;22.0;388.0;1.0;21.0
2020-04-23;27.0;415.0;0.0;21.0
2020-04-24;23.0;438.0;2.0;23.0
2020-04-25;9.0;447.0;3.0;26.0
2020-04-26;12.0;459.0;1.0;27.0
2020-04-27;17.0;476.0;2.0;29.0
2020-04-28;7.0;483.0;0.0;29.0
2020-04-29;1.0;484.0;0.0;29.0
