DateRep;Cases;cum-Cases;Deaths;cum-Deaths
2020-04-01;1.0;1.0;0.0;0.0
2020-04-02;0.0;1.0;0.0;0.0
2020-04-03;0.0;1.0;0.0;0.0
2020-04-04;1.0;2.0;0.0;0.0
2020-04-05;0.0;2.0;0.0;0.0
2020-04-06;1.0;3.0;0.0;0.0
2020-04-07;0.0;3.0;0.0;0.0
2020-04-08;0.0;3.0;0.0;0.0
2020-04-09;0.0;3.0;0.0;0.0
2020-04-10;1.0;4.0;1.0;1.0
2020-04-11;1.0;5.0;0.0;1.0
2020-04-12;0.0;5.0;0.0;1.0
2020-04-13;0.0;5.0;0.0;1.0
2020-04-14;4.0;9.0;0.0;1.0
2020-04-15;3.0;12.0;0.0;1.0
2020-04-16;4.0;16.0;0.0;1.0
2020-04-17;2.0;18.0;0.0;1.0
2020-04-18;1.0;19.0;0.0;1.0
2020-04-19;1.0;20.0;0.0;1.0
2020-04-20;6.0;26.0;0.0;1.0
2020-04-21;1.0;27.0;0.0;1.0
2020-04-22;5.0;32.0;0.0;1.0
2020-04-23;1.0;33.0;0.0;1.0
2020-04-24;1.0;34.0;0.0;1.0
2020-04-25;1.0;35.0;0.0;1.0
