regiao;estado;DateRep;Cases;cum-Cases;Deaths;cum-Deaths
Nordeste;BA;2020-03-06;1;1;0;0
Nordeste;BA;2020-03-07;1;2;0;0
Nordeste;BA;2020-03-08;0;2;0;0
Nordeste;BA;2020-03-09;0;2;0;0
Nordeste;BA;2020-03-10;0;2;0;0
Nordeste;BA;2020-03-11;0;2;0;0
Nordeste;BA;2020-03-12;0;2;0;0
Nordeste;BA;2020-03-13;0;2;0;0
Nordeste;BA;2020-03-14;0;2;0;0
Nordeste;BA;2020-03-15;0;2;0;0
Nordeste;BA;2020-03-16;0;2;0;0
Nordeste;BA;2020-03-17;1;3;0;0
Nordeste;BA;2020-03-18;0;3;0;0
Nordeste;BA;2020-03-19;27;30;0;0
Nordeste;BA;2020-03-20;3;33;0;0
Nordeste;BA;2020-03-21;8;41;0;0
Nordeste;BA;2020-03-22;8;49;0;0
Nordeste;BA;2020-03-23;14;63;0;0
Nordeste;BA;2020-03-24;13;76;0;0
Nordeste;BA;2020-03-25;8;84;0;0
Nordeste;BA;2020-03-26;20;104;0;0
Nordeste;BA;2020-03-27;11;115;0;0
Nordeste;BA;2020-03-28;12;127;0;0
Nordeste;BA;2020-03-29;27;154;1;1
Nordeste;BA;2020-03-30;22;176;0;1
Nordeste;BA;2020-03-31;37;213;1;2
Nordeste;BA;2020-04-01;33;246;0;2
Nordeste;BA;2020-04-02;21;267;1;3
Nordeste;BA;2020-04-03;15;282;2;5
Nordeste;BA;2020-04-04;50;332;2;7
Nordeste;BA;2020-04-05;69;401;2;9
Nordeste;BA;2020-04-06;30;431;1;10
Nordeste;BA;2020-04-07;25;456;2;12
Nordeste;BA;2020-04-08;41;497;3;15
Nordeste;BA;2020-04-09;62;559;4;19
Nordeste;BA;2020-04-10;45;604;0;19
Nordeste;BA;2020-04-11;31;635;2;21
Nordeste;BA;2020-04-12;38;673;0;21
Nordeste;BA;2020-04-13;50;723;1;22
Nordeste;BA;2020-04-14;36;759;0;22
Nordeste;BA;2020-04-15;48;807;5;27
Nordeste;BA;2020-04-16;144;951;3;30
Nordeste;BA;2020-04-17;108;1059;6;36
Nordeste;BA;2020-04-18;134;1193;1;37
Nordeste;BA;2020-04-19;37;1230;8;45
Nordeste;BA;2020-04-20;111;1341;1;46
Nordeste;BA;2020-04-21;148;1489;1;47
Nordeste;BA;2020-04-22;155;1644;3;50
Nordeste;BA;2020-04-23;145;1789;9;59
Nordeste;BA;2020-04-24;173;1962;5;64
Nordeste;BA;2020-04-25;119;2081;6;70
Nordeste;BA;2020-04-26;128;2209;3;73
Nordeste;BA;2020-04-27;145;2354;3;76
Nordeste;BA;2020-04-28;186;2540;10;86
Nordeste;BA;2020-04-29;106;2646;10;96
Nordeste;BA;2020-04-30;205;2851;8;104
Nordeste;BA;2020-05-01;234;3085;13;117
Nordeste;BA;2020-05-02;182;3267;6;123
Nordeste;BA;2020-05-03;228;3495;0;123
Nordeste;BA;2020-05-04;213;3708;11;134
